Day_Relative_to_Event,CUDA Launch,Tesla V100 Launch,H100 Hopper Launch,DGX-1 Launch,RTX 2080 Ti Launch,A100 Ampere Launch,Arm Acquisition Announcement,Blackwell B200 Announcement
-30,-17.25913053253828,-11.212785695204719,-6.787104425951506,-12.152223801533369,0.568890216771778,-24.32914965856636,-17.562378369444165,-25.208408446554742
-29,-18.083343826693955,-11.501363690462952,-5.354678280235703,-11.929247405458753,2.182858646718566,-20.468863254873536,-14.490789260704718,-21.62258020366132
-28,-18.813194944046273,-9.802970583618698,0.6652574725575677,-11.316108285853543,-0.1250745476793047,-24.06763223400603,-12.801639690998002,-22.876266971992386
-27,-17.777222418006446,-10.190478217582866,-2.655691924608905,-11.121013303466032,1.367814382904542,-16.443594304352803,-12.343417729251815,-20.755515460652518
-26,-19.1429206737757,-10.643904399690406,-9.723561816271253,-11.706284630006358,0.5971431362854718,-19.360586827146832,-11.964812548668945,-21.273263812361375
-25,-17.54170272754818,-16.909881317117804,-8.524853560729229,-12.279726446147432,0.1452441009497374,-16.894992465570514,-13.021048468211182,-18.45613183636746
-24,-17.282734853580195,-17.528227431985076,-0.12633185303838612,-8.391597247462935,2.360358487965919,-18.140235760882007,-13.288964547828265,-18.326144613309804
-23,-16.83532734738773,-16.926390848282992,-0.06602941010148689,-7.860147809630281,1.5574470459843281,-15.992184221569449,-15.735361637657663,-18.461784205158725
-22,-19.048705449943824,-17.28089536345243,-7.620172842030149,-8.671310345400595,1.6905894149717993,-11.602669715408387,-11.151284072348188,-16.4586019646771
-21,-21.96845893266036,-19.391540471589053,-10.88079818506288,-8.951050684582684,1.2306225583279096,-12.570861786136645,-11.129932535684118,-17.86265900199705
-20,-20.744028405274616,-19.102978419866478,-11.830725546228404,-9.538467259122873,0.6334949669775103,-8.256065692595282,-10.1902048097662,-17.91352169154773
-19,-19.896357743048508,-19.77077341055107,-15.611554008578066,-11.188816760883913,0.3510434965160236,-8.996990996833631,-4.1868260201285645,-21.48691472310038
-18,-19.708055879234788,-21.27134709882258,-10.481235970281144,-11.244749846035894,1.6260546169739598,-10.637595134093768,-4.779020885266072,-23.72524413486914
-17,-18.436536109054536,-18.187811501810113,-8.939514798375093,-11.38462682593805,2.824398117601623,-16.098041763628736,-5.728454530739602,-11.215516451327234
-16,-17.87147438008119,-18.13834668245714,-8.080037499748771,-9.874154304079163,1.686563276785269,-10.917781730439092,-5.709042691628374,-10.900105643204183
-15,-17.424030135645864,-17.816797455475488,-11.502790041531675,-9.65034023973793,-1.4969306137054827,-11.583994582840573,-1.4957966531076061,-10.589233989255497
-14,-14.97534358752799,-16.51415479052626,-8.686440479558222,-10.097907075620405,-1.2024162736194555,-9.846867489413647,-1.210393568349366,-11.03124922873212
-13,-14.339579110157509,-16.16786119621637,-10.594176085006346,-7.412601404681151,-0.5527856640256124,-7.515116545225653,-0.9793391740277269,-12.204680989797945
-12,-15.257833121491437,-15.120793407730648,-13.527355777137561,-8.195807613342133,1.121668108329854,-9.295840804181132,-0.800723499755418,-10.56662451409045
-11,-13.939159816591673,-13.644972058555183,-19.499329080393867,-5.42659209920825,1.7188501069530293,-7.085522927555033,-1.9248934243955684,-6.986457269558965
-10,-13.633166991754198,-14.23858177786207,-18.888567842553496,-5.146858570337265,2.4975658574776682,-9.009431150574143,2.109699780895924,-3.6425245222195035
-9,-14.527862604849794,-12.90295193765376,-13.23328501790092,-5.3146918773487535,3.6757398048348877,-11.966909310265894,3.8707370687201426,-2.81611368665442
-8,-12.47938410540128,-14.007735325191128,-14.575455601849141,-3.6922987026970278,4.268887892803996,-9.317621504596952,7.370493974823766,0.27696607077178914
-7,-10.925347247575434,-12.078479822140299,-16.679211966436657,-3.552435343417093,3.4780470929144824,-8.554915499942773,11.452925621294053,4.763997638259099
-6,-6.875360092183602,-14.683820954413529,-19.582251242697847,-2.5734190697019654,2.8042363367987377,-7.294096679128681,1.1128661699356446,-1.0480009513238686
-5,-6.828307587631965,-14.048973280148891,-13.387877112683588,-1.0069930317577747,3.3408708132729226,-5.09000782054706,-1.9402177782421814,-3.030920959863692
-4,-6.239595614813121,-14.378741399757933,-7.6458973700109905,0.027956327109324164,5.483374808515551,-2.714683553961772,-7.452087612496882,3.9093335883083835
-3,-6.145508974831271,-14.370514535362721,-6.627952368633993,-0.3356734243340709,4.535164858311425,0.4358166749322878,-1.2216230051399712,2.750554838246466
-2,1.2008445754652541,-15.269179894021722,-0.26766908042124005,1.1189000639283853,3.873455834157924,-2.83921622858887,-4.354308870898338,-0.5777066087495952
-1,2.70781055961804,-15.129036215661507,0.7917334002415899,0.13984292834661183,-1.2185519162358105,-3.1193909033685574,-5.49826222421923,-0.6986586713119025
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,-4.638506252435626,4.295483459418792,-3.355433663602847,0.13984292834661183,2.2110960212971875,5.731256914508065,0.9225305606409551,1.0660799018852307
2,-2.071963421201106,5.441504801913921,6.130311338825889,-0.895099620209383,6.044212748914246,8.962680730935023,-2.779229867239963,2.1672044902762755
3,-1.130224488114584,10.73460717400112,4.403576710708124,-0.2517499605172224,7.666210137831508,9.650674283752348,-3.175433529834848,3.3689412431517907
4,-2.7312954813706325,12.795763547481332,6.390445315279636,0.36364337206562514,9.836974825055368,11.699121142181369,-5.305979485580314,6.595442792763784
5,1.3186641203390526,5.3013292364824105,8.038003721880326,0.2517431502061074,11.321795934331046,9.274000495937141,-2.7578857623672848,7.401496471109659
6,1.4834075859144535,9.712267809307985,4.396027199276054,2.7692291347561016,10.708524927896757,12.399560809522004,-1.8217475916908366,4.641906472367863
7,2.5665428312345195,12.246070297121348,2.8728772491943166,3.048962663627086,12.428307730954803,8.55797934231106,-5.814834242068012,2.029278062198836
8,3.061076318464351,14.639513868843213,0.7088040342053459,3.8601251993974017,12.153799722320823,6.160850532178697,-4.072725726914661,2.1491169101442553
9,6.051459073092302,13.096147730888097,3.1518778004959502,3.412612846003804,13.312425913810944,5.6845362987830494,0.011660480691233488,2.1570215968813367
10,7.087413230010697,14.367166392876296,-2.235699925073975,1.5664328482553058,14.53161517238517,10.522343398313815,1.264340942050901,1.1271254848308487
11,6.616529986626363,14.111304532771097,-7.981440015998054,1.958032547430233,12.400054811441109,9.660020791210467,2.746217849884647,0.5754370316624069
12,8.665054408878458,17.066000418198946,-8.731708733221522,1.8461663771262904,10.098922526142108,9.89659233967879,5.113726474106972,-2.882828897532652
13,8.00567642590535,19.566807758985405,-12.837418317780113,1.4545258160846952,9.751734173526705,9.202399572731078,5.766289780707168,-0.5053303995094294
14,9.960003993447009,19.137655609904414,-17.36916383325867,1.958032547430233,10.910368137484383,9.214833765688791,1.4760503833838312,-1.494546715404177
15,9.489093196380516,19.14586653076398,-18.926243362391027,2.0419287700026434,10.131224901244963,11.127184030824399,5.983803451115821,-3.5057630861830003
16,7.487667201483639,18.55163501356676,-16.2909091852125,4.3636455513651695,8.274172548934878,9.69449795902797,6.714066136700669,-1.6008112486798898
17,7.369948686777739,22.158381648225166,-19.853723893764254,1.258742992274997,9.541815370163388,12.696920421165082,8.481427878997948,2.4430400872898383
18,6.192662509550795,21.60540402952138,-17.87437598569569,-0.6153865222717214,11.59667702140701,16.69288616335407,7.508390864069114,-0.3041147001112021
19,7.2522852794361325,23.074505178420512,-16.309754148863544,0.6992895551552358,10.587398793728585,9.585475241292496,6.91798706065665,-2.7743120463111115
20,4.426737835990746,32.00467878997173,-19.009201543356426,-0.5035067313455488,9.412629187154575,11.282915442719265,10.516794882408998,-1.1757531155770495
21,3.932277825246655,23.47067812401025,-23.90664452815662,-2.7692427553783205,9.800195508648546,14.288449433487195,10.689650918353898,-4.996892491600402
22,4.450241126864785,23.776052634075363,-26.42512696398055,-2.1818398014603613,7.499055450882008,12.977196429252658,9.501054794152019,-4.27788529263996
23,4.19124569921463,24.956264888771116,-24.966061416284024,-1.1748331490803676,6.356541584605613,15.063947278068124,8.528047506388736,-13.854499570333678
24,7.110980812809742,25.220369556807178,-29.166039041491555,-1.3146965083603024,7.2649020937239905,14.839714550032435,7.2966814227362065,-10.103449567321954
25,7.74676365930167,25.75682170081015,-30.572301231557276,0.5874097642290632,8.358915762540864,15.378557395185588,4.85929166407173,-6.819285226468407
26,6.946154686187889,25.13784581628471,-25.41849182228709,0.8671160518556098,7.757412271964537,18.686171937588213,6.007116980706928,-9.923686980618507
27,6.475243889121418,29.84228096511643,-30.07465299801688,-0.5035067313455488,7.951187660243986,17.730014687368858,5.069039112477647,-6.583007581423017
28,0.16486286486470103,29.652433314368487,-26.35724619468245,14.629358692752614,13.449695463063026,15.057736142372114,3.7969393802153473,-0.8139583650829674
29,1.012524342530119,31.61674068054503,-26.097112218228713,18.013987970402656,16.81659627013272,18.228336130927403,5.57788643717394,-0.7891052015427613
30,2.6135861512254444,30.708875901816192,-23.337355177066655,18.265792413408775,15.653936167988514,14.054846354862093,2.0897677163873807,-2.320948921398591
