Day_Relative_to_Event,Autopilot Announcement,Model 3 First Deliveries,Cybertruck Reveal,Tesla Bot Announcement,Dojo Supercomputer Announcement,Cybertruck Deliveries Begin,Optimus Gen 2 Reveal,FSD v12 Wide Rollout
-30,11.375636887379414,12.018388692525207,-31.026123011815553,-3.067696915283169,-3.067696915283169,1.0829685208667117,-16.068368100234476,8.1185272512047
-29,13.840698465915136,10.84251480056646,-30.138377790340055,-2.4529680413714394,-2.4529680413714394,-8.318061091467378,-14.054072701573494,4.177211955901927
-28,19.927403850769586,10.365003080293844,-27.5822198420007,1.8159651015617895,1.8159651015617895,-11.700264963200757,-8.684023303243205,6.501727763717402
-27,18.690646316944616,11.093207599851262,-27.32012133001812,-0.7320330634956296,-0.7320330634956296,-11.662778984691824,-8.078058888635454,7.928652783275947
-26,20.73782777573787,12.3347346571268,-26.795924306052942,-2.9830595431253992,-2.9830595431253992,-9.813394443062784,-8.366412961419922,9.067890811338252
-25,17.08665713958444,14.188085346553336,-26.170277596560034,-3.395846855295448,-3.395846855295448,-11.521161050962437,-7.150320151454115,11.375146102024747
-24,19.078975454026327,14.438778145838139,-27.58504192036143,-4.3431777635627995,-4.3431777635627995,-14.295237863405996,-7.179570043799599,8.245110229823883
-23,17.546744322832964,12.660046133964386,-28.55733660952442,-4.046212875225741,-4.046212875225741,-13.653781460050263,-12.248735166934498,5.880322808544247
-22,18.65265392158266,8.147558669671673,-27.97113449243348,-1.925846868209924,-1.925846868209924,-17.79406901652949,-10.297129040488118,8.578828193500755
-21,18.319187928852298,10.794758505389336,-28.224782895495938,-2.699457734908983,-2.699457734908983,-16.344553979459487,-6.510922733670577,15.333713134946247
-20,17.850659332902573,7.664069941241736,-15.542653013290298,-3.5948180884446956,-3.5948180884446956,-14.336886832068096,-0.7856532562042551,15.046026143450009
-19,7.154616550035686,7.920731210100795,-7.5247252364034845,-4.467904376082476,-4.467904376082476,-8.984508147162396,1.4835568353720685,11.484459784004741
-18,10.058679894686428,5.237712018354546,-7.643091265933554,-2.3534858233421163,-2.3534858233421163,-8.380537722315594,-2.3820456802079337,12.065593125713715
-17,10.328817177538197,-2.381590131788758,-10.881264923251155,-4.2600289542465415,-4.2600289542465415,-8.667942935637695,-2.0853317624561885,13.584580089633524
-16,11.35874198556397,-7.83119562790392,-11.22226874619977,-3.9333607799851733,-3.9333607799851733,-7.455851807211222,-1.542056620063026,10.454544217432638
-15,9.459291287248405,-6.521026901232929,-11.247635199122218,0.5761213993007219,0.5761213993007219,-7.485005449703674,0.7981962120018338,14.729568696902074
-14,5.5379712918302015,-5.676424417102954,-11.701377021041493,2.038692166359879,2.038692166359879,-12.537489950827773,-2.1229414997689378,14.919443164830826
-13,5.698370209566228,-2.3427908102645723,-10.52898084994066,5.375146043987922,5.375146043987922,-10.59230578999475,-1.6047458922776259,16.248555660821886
-12,6.428606752079502,-1.656365577726937,-10.599436051986554,5.385538795516132,5.385538795516132,-6.818558394008645,-1.3414649777016563,16.15650249597087
-11,4.237897124539636,-3.479865380699132,-7.961558777401478,5.560747399925936,5.560747399925936,-1.112128519069322,3.105022417584258,16.593783562421493
-10,4.090166364061942,-2.1756651236023994,-5.436403375624998,6.111631201826895,6.111631201826895,1.149614497578244,2.026831977765231,8.250860809030103
-9,3.5245554838417847,-4.62589692478661,-4.985483632066456,3.8056638388730635,3.8056638388730635,-2.7032678455788717,0.33014692092754316,3.9930968466896477
-8,2.4355287104945056,-2.0383732462283977,-2.7449711168342827,5.982445697873273,5.982445697873273,-2.40753029624029,-0.19223179739408236,1.5765190945129293
-7,1.4056039024687106,-2.927743521456816,-1.3809396988777922,5.422657707285605,5.422657707285605,-1.866042857951844,-1.5504164650303132,2.7905585498075203
-6,6.124691742009891,-1.536987647658783,-2.4575142150102813,5.100448424458182,5.100448424458182,0.46650912556043256,-0.23820137967411892,0.8860720708239622
-5,7.724454174812956,-1.990625489634379,-1.5443944775312968,7.24308170028134,7.24308170028134,-2.445016274749212,0.03343300317577569,2.284235414841085
-4,10.008019342066143,2.2234214187795143,-0.7496488326634076,6.488781367978369,6.488781367978369,-1.9285258445102205,1.3999775157792937,2.151893077505429
-3,9.56481498422006,1.3519565522738475,-1.3640314179565016,1.8857508307574156,1.8857508307574156,-1.666111283527405,1.9014598100293822,-2.485619820692553
-2,9.442408461845986,2.620345991925066,1.3217647471937877,-1.152242798601455,-1.152242798601455,2.765744476427079,0.18806143995044877,-6.5017277637173905
-1,8.484241699987006,-0.18205112988934902,-0.7355626301028484,2.3044788001123084,2.3044788001123084,1.691101935866679,-0.9528182720831779,-5.88607338775049
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,-5.200284592749238,-3.4619599719763694,-6.140963459164972,1.0082056516856674,1.0082056516856674,-0.5206597761023168,4.914543063053567,-1.4269250195585559
2,-4.157697665671634,-4.62589692478661,-5.210943503845722,4.87475103106767,4.87475103106767,-1.874375193968325,5.938404075625292,1.0701959595464716
3,-3.043352692427226,-2.739723921993209,-7.30208744298495,5.199930642487516,5.199930642487516,-0.56647809062772,5.34498261681513,-0.5638640450697952
4,-4.457385931184133,3.5873149102018553,-6.634157936567253,5.602325203129355,5.602325203129355,-0.29573754933858165,7.493003651485908,-1.708861431848574
5,-3.980415922533187,6.518046935737343,-7.014622478079913,4.111539712987411,4.111539712987411,1.0663102045439077,3.280540901737128,-0.6731865065600084
6,-2.718328112398072,5.99874738986188,-5.625224607200963,5.709236641185056,5.709236641185056,1.5661423184601064,6.356307050282584,2.2266945047377362
7,-0.6626992026970924,8.998121084792832,-5.250396159328741,8.528962097179772,8.528962097179772,-0.1416179337293877,5.537214414209202,3.4695044150840015
8,-2.452405497690413,8.493746982144534,-6.143785537525703,9.243173189120824,9.243173189120824,-1.278743460848153,7.238076205183885,1.144988607268549
9,-0.683802734450123,6.067389059257344,-6.8934343701891105,9.001142387017236,9.001142387017236,-0.32906053769434784,9.256554714675168,0.8170300023081278
10,-0.7049062662031536,6.80455055246767,-5.337759642295925,8.748718833385439,8.748718833385439,4.569310703530727,5.804672062922145,-4.125430404515051
11,-6.432821420223611,8.574325590688513,-4.311926095089369,8.923927437795243,8.923927437795243,5.58980259354922,3.840529357371514,-3.1185259342781713
12,2.4735211058564577,8.135613191940095,-1.6881269599838156,11.797105214272507,11.797105214272507,4.998333850582215,3.8154561991630143,-1.5477574189714849
13,0.5023002849610769,8.308715886759611,-0.6002883196514985,11.93816523550526,11.93816523550526,7.139286595686523,-0.35103696830572906,-5.120833716339468
14,0.7386839934210077,5.028798506089505,1.3668534963172219,12.085165913922857,12.085165913922857,2.940685398512244,-0.5683483006016621,-0.4718108802187704
15,2.0218632588961283,3.69773586661708,1.0033052988069002,9.32484023268616,9.32484023268616,6.0063304144310825,-0.7522202530284683,1.7721529211581544
16,2.3975363151325535,0.8326655449814702,7.516275127483363,10.32414169568514,10.32414169568514,5.189933088990184,0.4847689810088651,-1.1737678418304531
17,0.852649103093861,1.8742360636448963,6.808901028663694,10.54538019764173,10.54538019764173,6.885198015010019,-1.809514268775969,0.46030094229605467
18,-2.5072807184547963,5.282479809452978,10.799537533924397,12.229196263748054,12.229196263748054,8.897034508264735,-2.235777088400548,-1.582278453229402
19,1.8192572776540628,5.330236104630082,13.868620318948066,12.401441336656017,12.401441336656017,5.456510640126155,-5.04408558823306,-7.0886116846326175
20,1.3887090006532654,3.8738185269321823,14.305445796865035,12.772650845622646,12.772650845622646,3.498831153123483,-8.525218132331558,-9.602993180866603
21,2.1189576195795867,3.1605394506019513,18.14672178911383,8.419080330531648,8.419080330531648,3.473840500784209,-8.098955312706979,-10.558116099716619
22,5.981175649676307,3.667893518745813,19.846128999459523,9.786627770995416,9.786627770995416,-0.6789423818646667,-9.921012537280538,-13.734182944098139
23,5.1454154101913785,5.4048462435998035,21.449714554836884,11.651593098696411,11.651593098696411,-0.895538628322079,-11.454715689069628,-15.391254045049596
24,6.242883596239857,6.2166178757798285,21.291887806742782,11.90401665232821,11.90401665232821,-1.0788055307135558,-11.325166787196794,-18.26812396001214
25,9.189141927983634,6.067389059257344,16.872875932485233,14.98507664773201,14.98507664773201,0.1541132598990247,-12.741857616217311,-16.7548963548088
26,7.205265026242946,4.333424838482025,17.895895464412103,17.504866886797245,17.504866886797245,-2.1326204090878265,-12.599772135240228,-6.714613327981345
27,8.775488552798283,2.823291034615849,21.2580712449002,15.455775171818553,15.455775171818553,-2.557480565986159,-13.147224011770353,-2.0828597884998468
28,4.57136311727,4.637842402518189,24.851342990808,16.012592833813777,16.012592833813777,-5.356548030769015,-23.67837769779563,-3.170316265175277
29,4.980801824311265,2.4860511572128097,27.255310284693678,15.146928969111784,15.146928969111784,-8.826225541400046,-23.41927989404996,11.651323155598291
30,2.4777357740005668,8.54150327732166,32.192883089275966,15.108321494500787,15.108321494500787,-8.401365384501712,-20.20978810949471,5.45454290050611
